"","occupation","code","education","work_experience","job_training","year"
"1498","Furnace, kiln, oven, drier, and kettle operators and tenders","51-9051","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1499","Inspectors, testers, sorters, samplers, and weighers","51-9061","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1500","Jewelers and precious stone and metal workers","51-9071","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1501","Dental laboratory technicians","51-9081","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1502","Medical appliance technicians","51-9082","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1503","Ophthalmic laboratory technicians","51-9083","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1504","Packaging and filling machine operators and tenders","51-9111","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1505","Coating, painting, and spraying machine setters, operators, and tenders","51-9121","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1506","Painters, transportation equipment","51-9122","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1507","Painting, coating, and decorating workers","51-9123","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1508","Semiconductor processors","51-9141","Associate's degree","None","Moderate-term on-the-job training","2014"
"1509","Photographic process workers and processing machine operators","51-9151","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1510","Adhesive bonding machine operators and tenders","51-9191","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1511","Cleaning, washing, and metal pickling equipment operators and tenders","51-9192","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1512","Cooling and freezing equipment operators and tenders","51-9193","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1513","Etchers and engravers","51-9194","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1514","Molders, shapers, and casters, except metal and plastic","51-9195","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1515","Paper goods machine setters, operators, and tenders","51-9196","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1516","Tire builders","51-9197","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1517","Helpers--production workers","51-9198","No formal educational credential","None","Short-term on-the-job training","2014"
"1518","Production workers, all other","51-9199","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1519","Aircraft cargo handling supervisors","53-1011","High school diploma or equivalent","Less than 5 years","None","2014"
"1520","First-line supervisors of helpers, laborers, and material movers, hand","53-1021","High school diploma or equivalent","Less than 5 years","None","2014"
"1521","First-line supervisors of transportation and material-moving machine and vehicle operators","53-1031","High school diploma or equivalent","Less than 5 years","None","2014"
"1522","Airline pilots, copilots, and flight engineers","53-2011","Bachelor's degree","Less than 5 years","Moderate-term on-the-job training","2014"
"1523","Commercial pilots","53-2012","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1524","Air traffic controllers","53-2021","Associate's degree","None","Long-term on-the-job training","2014"
"1525","Airfield operations specialists","53-2022","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"1526","Flight attendants","53-2031","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2014"
"1527","Ambulance drivers and attendants, except emergency medical technicians","53-3011","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1528","Bus drivers, transit and intercity","53-3021","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1529","Bus drivers, school or special client","53-3022","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1530","Driver/sales workers","53-3031","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1531","Heavy and tractor-trailer truck drivers","53-3032","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"1532","Light truck or delivery services drivers","53-3033","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"1533","Taxi drivers and chauffeurs","53-3041","No formal educational credential","None","Short-term on-the-job training","2014"
"1534","Motor vehicle operators, all other","53-3099","No formal educational credential","None","Short-term on-the-job training","2014"
"1535","Locomotive engineers","53-4011","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2014"
"1536","Locomotive firers","53-4012","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1537","Rail yard engineers, dinkey operators, and hostlers","53-4013","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1538","Railroad brake, signal, and switch operators","53-4021","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1539","Railroad conductors and yardmasters","53-4031","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1540","Subway and streetcar operators","53-4041","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1541","Rail transportation workers, all other","53-4099","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"1542","Sailors and marine oilers","53-5011","No formal educational credential","None","Moderate-term on-the-job training","2014"
"1543","Captains, mates, and pilots of water vessels","53-5021","Postsecondary nondegree award","Less than 5 years","None","2014"
"1544","Motorboat operators","53-5022","Postsecondary nondegree award","Less than 5 years","None","2014"
"1545","Ship engineers","53-5031","Postsecondary nondegree award","Less than 5 years","None","2014"
