"","employment","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year"
"1444","Automotive body and related repairers","49-3021",21,50.5,19,7.1,2.1,0.2,0.2,"2012"
"1445","Automotive glass installers and repairers","49-3022",15.4,58.3,17.5,5.6,3.1,0,0,"2012"
"1446","Automotive service technicians and mechanics","49-3023",18.6,44.1,22.4,11,3.4,0.4,0.1,"2012"
"1447","Bus and truck mechanics and diesel engine specialists","49-3031",14.2,47.2,24.6,10.2,3.3,0.5,0,"2012"
"1448","Farm equipment mechanics and service technicians(1)","49-3041",14,45.3,26.1,10.9,3.1,0.6,0,"2012"
"1449","Mobile heavy equipment mechanics, except engines(1)","49-3042",14,45.3,26.1,10.9,3.1,0.6,0,"2012"
"1450","Rail car repairers(1)","49-3043",14,45.3,26.1,10.9,3.1,0.6,0,"2012"
"1451","Motorboat mechanics and service technicians(1)","49-3051",12.9,49.1,26.3,8.2,3.1,0.4,0,"2012"
"1452","Motorcycle mechanics(1)","49-3052",12.9,49.1,26.3,8.2,3.1,0.4,0,"2012"
"1453","Outdoor power equipment and other small engine mechanics(1)","49-3053",12.9,49.1,26.3,8.2,3.1,0.4,0,"2012"
"1454","Bicycle repairers(1)","49-3091",26.1,46.8,17.2,4.6,5.1,0.2,0.1,"2012"
"1455","Recreational vehicle service technicians(1)","49-3092",26.1,46.8,17.2,4.6,5.1,0.2,0.1,"2012"
"1456","Tire repairers and changers(1)","49-3093",26.1,46.8,17.2,4.6,5.1,0.2,0.1,"2012"
"1457","Mechanical door repairers(1)","49-9011",6.2,39.7,34.9,14.2,4.4,0.5,0.2,"2012"
"1458","Control and valve installers and repairers, except mechanical door(1)","49-9012",6.2,39.7,34.9,14.2,4.4,0.5,0.2,"2012"
"1459","Heating, air conditioning, and refrigeration mechanics and installers","49-9021",11.7,39.5,30.9,13,4.1,0.5,0.2,"2012"
"1460","Home appliance repairers","49-9031",10.9,45.2,29.1,8.5,5.2,0.8,0.3,"2012"
"1461","Industrial machinery mechanics(1)","49-9041",11.2,40.9,28.5,13.2,5.4,0.6,0.1,"2012"
"1462","Maintenance workers, machinery","49-9043",12.1,47.3,24.2,10.3,5.7,0.2,0.2,"2012"
"1463","Millwrights","49-9044",6.9,46.6,32.7,9.6,3.3,0.9,0,"2012"
"1464","Refractory materials repairers, except brickmasons(1)","49-9045",11.2,40.9,28.5,13.2,5.4,0.6,0.1,"2012"
"1465","Electrical power-line installers and repairers","49-9051",4.5,40.5,37.3,12.5,4.8,0.3,0,"2012"
"1466","Telecommunications line installers and repairers","49-9052",6.1,36.6,34.5,12.7,8.7,1,0.3,"2012"
"1467","Camera and photographic equipment repairers(1)","49-9061",3.3,21.8,33,21.4,16.9,2.9,0.8,"2012"
"1468","Medical equipment repairers(1)","49-9062",3.3,21.8,33,21.4,16.9,2.9,0.8,"2012"
"1469","Musical instrument repairers and tuners(1)","49-9063",3.3,21.8,33,21.4,16.9,2.9,0.8,"2012"
"1470","Watch repairers(1)","49-9064",3.3,21.8,33,21.4,16.9,2.9,0.8,"2012"
"1471","Precision instrument and equipment repairers, all other(1)","49-9069",3.3,21.8,33,21.4,16.9,2.9,0.8,"2012"
"1472","Maintenance and repair workers, general","49-9071",13.8,40.7,27.8,10.4,6.2,0.9,0.1,"2012"
"1473","Wind turbine service technicians(1)","49-9081",14.1,40.6,25.2,9.8,8.8,1.3,0.2,"2012"
"1474","Coin, vending, and amusement machine servicers and repairers","49-9091",10,40.1,28.9,12.6,6.7,1.5,0.1,"2012"
"1475","Commercial divers(1)","49-9092",14.1,40.6,25.2,9.8,8.8,1.3,0.2,"2012"
"1476","Fabric menders, except garment(1)","49-9093",14.1,40.6,25.2,9.8,8.8,1.3,0.2,"2012"
"1477","Locksmiths and safe repairers","49-9094",8.1,45.7,29.1,7.8,6,2.8,0.4,"2012"
"1478","Manufactured building and mobile home installers(1)","49-9095",14.1,40.6,25.2,9.8,8.8,1.3,0.2,"2012"
"1479","Riggers","49-9096",17.9,37.3,29.6,7.5,7.5,0,0.3,"2012"
"1480","Signal and track switch repairers(1)","49-9097",14.1,40.6,25.2,9.8,8.8,1.3,0.2,"2012"
"1481","Helpers--installation, maintenance, and repair workers","49-9098",35.2,38.9,17.5,4.6,3.8,0,0,"2012"
"1482","Installation, maintenance, and repair workers, all other(1)","49-9099",14.1,40.6,25.2,9.8,8.8,1.3,0.2,"2012"
"1483","First-line supervisors of production and operating workers","51-1011",9.6,38.3,26.4,8.9,13.2,3,0.6,"2012"
"1484","Aircraft structure, surfaces, rigging, and systems assemblers","51-2011",11.8,38,40,6.2,3.3,0.7,0,"2012"
"1485","Coil winders, tapers, and finishers(1)","51-2021",19.5,44,23.3,6.8,5.7,0.5,0.2,"2012"
"1486","Electrical and electronic equipment assemblers(1)","51-2022",19.5,44,23.3,6.8,5.7,0.5,0.2,"2012"
"1487","Electromechanical equipment assemblers(1)","51-2023",19.5,44,23.3,6.8,5.7,0.5,0.2,"2012"
"1488","Engine and other machine assemblers","51-2031",10.3,51.7,20.1,12.8,4.8,0.3,0,"2012"
"1489","Structural metal fabricators and fitters","51-2041",12.8,48.9,23.7,11,3.4,0.3,0,"2012"
"1490","Fiberglass laminators and fabricators(1)","51-2091",19.1,46.3,23.3,5.9,4.7,0.6,0.1,"2012"
"1491","Team assemblers(1)","51-2092",19.1,46.3,23.3,5.9,4.7,0.6,0.1,"2012"
"1492","Timing device assemblers and adjusters(1)","51-2093",19.1,46.3,23.3,5.9,4.7,0.6,0.1,"2012"
"1493","Assemblers and fabricators, all other(1)","51-2099",19.1,46.3,23.3,5.9,4.7,0.6,0.1,"2012"
"1494","Bakers","51-3011",25.1,36.7,20.1,7.7,8.6,1.4,0.4,"2012"
"1495","Butchers and meat cutters(1)","51-3021",36.4,39.3,16.7,3.8,3.3,0.3,0.2,"2012"
"1496","Meat, poultry, and fish cutters and trimmers(1)","51-3022",36.4,39.3,16.7,3.8,3.3,0.3,0.2,"2012"
"1497","Slaughterers and meat packers(1)","51-3023",36.4,39.3,16.7,3.8,3.3,0.3,0.2,"2012"
"1498","Food and tobacco roasting, baking, and drying machine operators and tenders","51-3091",17.5,42.2,24,7.4,7.3,1.6,0,"2012"
"1499","Food batchmakers","51-3092",22.5,42.7,20.7,6.3,6.9,0.7,0.3,"2012"
"1500","Food cooking machine operators and tenders","51-3093",40.9,31,17.1,4.9,3.9,1.7,0.5,"2012"
"1501","Food processing workers, all other","51-3099",30.3,46.8,15.7,3,3.3,0.4,0.4,"2012"
"1502","Computer-controlled machine tool operators, metal and plastic(1)","51-4011",8.2,40.8,31.2,12.4,6.4,0.7,0.3,"2012"
"1503","Computer numerically controlled machine tool programmers, metal and plastic(1)","51-4012",8.2,40.8,31.2,12.4,6.4,0.7,0.3,"2012"
"1504","Extruding and drawing machine setters, operators, and tenders, metal and plastic","51-4021",8.9,56.8,22.5,9,2.8,0,0,"2012"
"1505","Forging machine setters, operators, and tenders, metal and plastic","51-4022",12.7,60.7,21,2.1,3.4,0.1,0,"2012"
"1506","Rolling machine setters, operators, and tenders, metal and plastic","51-4023",15.1,60.6,20.6,1.4,2.3,0,0,"2012"
"1507","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic(1)","51-4031",20.9,51.5,19.3,5.1,2.7,0.3,0.1,"2012"
"1508","Drilling and boring machine tool setters, operators, and tenders, metal and plastic(1)","51-4032",20.9,51.5,19.3,5.1,2.7,0.3,0.1,"2012"
"1509","Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic(1)","51-4033",20.9,51.5,19.3,5.1,2.7,0.3,0.1,"2012"
"1510","Lathe and turning machine tool setters, operators, and tenders, metal and plastic(1)","51-4034",20.9,51.5,19.3,5.1,2.7,0.3,0.1,"2012"
"1511","Milling and planing machine setters, operators, and tenders, metal and plastic(1)","51-4035",20.9,51.5,19.3,5.1,2.7,0.3,0.1,"2012"
"1512","Machinists","51-4041",9.8,47.6,27.6,11.2,3.3,0.4,0.1,"2012"
"1513","Metal-refining furnace operators and tenders(1)","51-4051",14.6,50.9,22.6,7.3,4.1,0.3,0.1,"2012"
"1514","Pourers and casters, metal(1)","51-4052",14.6,50.9,22.6,7.3,4.1,0.3,0.1,"2012"
"1515","Model makers, metal and plastic(1)","51-4061",16,50.8,23.5,5.1,4.1,0.1,0.3,"2012"
"1516","Patternmakers, metal and plastic(1)","51-4062",16,50.8,23.5,5.1,4.1,0.1,0.3,"2012"
"1517","Foundry mold and coremakers(1)","51-4071",16,50.8,23.5,5.1,4.1,0.1,0.3,"2012"
"1518","Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic(1)","51-4072",16,50.8,23.5,5.1,4.1,0.1,0.3,"2012"
"1519","Multiple machine tool setters, operators, and tenders, metal and plastic(1)","51-4081",20.9,49.1,20.4,5.4,3.7,0.4,0.1,"2012"
"1520","Tool and die makers","51-4111",7.6,37.9,34.4,15.5,4,0.7,0,"2012"
"1521","Welders, cutters, solderers, and brazers(1)","51-4121",21.3,48,21.8,6.4,2.2,0.2,0.1,"2012"
"1522","Welding, soldering, and brazing machine setters, operators, and tenders(1)","51-4122",21.3,48,21.8,6.4,2.2,0.2,0.1,"2012"
"1523","Heat treating equipment setters, operators, and tenders, metal and plastic(1)","51-4191",20.9,49.1,20.4,5.4,3.7,0.4,0.1,"2012"
"1524","Layout workers, metal and plastic(1)","51-4192",20.9,49.1,20.4,5.4,3.7,0.4,0.1,"2012"
"1525","Plating and coating machine setters, operators, and tenders, metal and plastic(1)","51-4193",20.9,49.1,20.4,5.4,3.7,0.4,0.1,"2012"
"1526","Tool grinders, filers, and sharpeners(1)","51-4194",20.9,49.1,20.4,5.4,3.7,0.4,0.1,"2012"
"1527","Metal workers and plastic workers, all other(1)","51-4199",20.9,49.1,20.4,5.4,3.7,0.4,0.1,"2012"
"1528","Prepress technicians and workers","51-5111",11.2,34.5,26.8,10.1,15.1,1.9,0.4,"2012"
"1529","Printing press operators","51-5112",13.1,46.7,24.8,7.8,6.9,0.7,0.1,"2012"
"1530","Print binding and finishing workers","51-5113",11.1,50.9,27.3,5.5,4.8,0.4,0,"2012"
"1531","Laundry and dry-cleaning workers","51-6011",34.2,41.8,14.1,3.7,5.2,0.6,0.3,"2012"
"1532","Pressers, textile, garment, and related materials","51-6021",46.8,36.8,10.5,2.8,2.7,0.3,0.1,"2012"
"1533","Sewing machine operators","51-6031",43.3,36.3,10.6,4.1,4.9,0.6,0.2,"2012"
"1534","Shoe and leather workers and repairers(1)","51-6041",25.7,43.5,18,6.9,5.4,0.3,0.2,"2012"
"1535","Shoe machine operators and tenders(1)","51-6042",25.7,43.5,18,6.9,5.4,0.3,0.2,"2012"
"1536","Sewers, hand(1)","51-6051",28,31.3,19.2,5,12.9,3,0.6,"2012"
"1537","Tailors, dressmakers, and custom sewers(1)","51-6052",28,31.3,19.2,5,12.9,3,0.6,"2012"
"1538","Textile bleaching and dyeing machine operators and tenders(1)","51-6061",34.2,44.1,16,1.7,2.7,1.2,0,"2012"
"1539","Textile cutting machine setters, operators, and tenders(1)","51-6062",34.2,44.1,16,1.7,2.7,1.2,0,"2012"
"1540","Textile knitting and weaving machine setters, operators, and tenders","51-6063",28.3,44.4,16.2,3.4,5.7,2.1,0,"2012"
"1541","Textile winding, twisting, and drawing out machine setters, operators, and tenders","51-6064",33.9,48.6,12.8,3.2,1.5,0,0,"2012"
"1542","Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers(1)","51-6091",24.6,39.1,17.5,8.1,8.4,2.2,0.1,"2012"
"1543","Fabric and apparel patternmakers(1)","51-6092",24.6,39.1,17.5,8.1,8.4,2.2,0.1,"2012"
"1544","Upholsterers","51-6093",28.4,45.9,17.4,4.3,3.7,0.2,0.3,"2012"
"1545","Textile, apparel, and furnishings workers, all other(1)","51-6099",24.6,39.1,17.5,8.1,8.4,2.2,0.1,"2012"
"1546","Cabinetmakers and bench carpenters","51-7011",18.3,49.1,19.7,6,5.9,0.8,0.2,"2012"
"1547","Furniture finishers","51-7021",24.5,40.9,17.7,6.6,8.5,1.4,0.6,"2012"
"1548","Model makers, wood(1)","51-7031",20.9,34,26,6.5,9.4,2.6,0.6,"2012"
"1549","Patternmakers, wood(1)","51-7032",20.9,34,26,6.5,9.4,2.6,0.6,"2012"
"1550","Sawing machine setters, operators, and tenders, wood","51-7041",36.9,45,12.8,3.1,1.9,0.3,0,"2012"
"1551","Woodworking machine setters, operators, and tenders, except sawing","51-7042",25.8,47.7,17.9,3.4,4.2,0.6,0.5,"2012"
"1552","Woodworkers, all other(1)","51-7099",20.9,34,26,6.5,9.4,2.6,0.6,"2012"
"1553","Nuclear power reactor operators(1)","51-8011",1.9,31.6,32.8,17.7,14.3,1.3,0.4,"2012"
"1554","Power distributors and dispatchers(1)","51-8012",1.9,31.6,32.8,17.7,14.3,1.3,0.4,"2012"
"1555","Power plant operators(1)","51-8013",1.9,31.6,32.8,17.7,14.3,1.3,0.4,"2012"
"1556","Stationary engineers and boiler operators","51-8021",5.7,39.5,30.7,11.4,10.3,2.3,0.3,"2012"
"1557","Water and wastewater treatment plant and system operators","51-8031",4.6,39.1,34.5,10.9,9.7,1.2,0.1,"2012"
"1558","Chemical plant and system operators(1)","51-8091",5.1,38.1,32.3,11.7,11.6,0.6,0.5,"2012"
"1559","Gas plant operators(1)","51-8092",5.1,38.1,32.3,11.7,11.6,0.6,0.5,"2012"
"1560","Petroleum pump system operators, refinery operators, and gaugers(1)","51-8093",5.1,38.1,32.3,11.7,11.6,0.6,0.5,"2012"
"1561","Plant and system operators, all other(1)","51-8099",5.1,38.1,32.3,11.7,11.6,0.6,0.5,"2012"
"1562","Chemical equipment operators and tenders(1)","51-9011",5.9,35.8,31.1,9.6,14.3,2.6,0.7,"2012"
"1563","Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders(1)","51-9012",5.9,35.8,31.1,9.6,14.3,2.6,0.7,"2012"
"1564","Crushing, grinding, and polishing machine setters, operators, and tenders(1)","51-9021",21,46.9,19.9,6.9,4.4,0.9,0.1,"2012"
"1565","Grinding and polishing workers, hand(1)","51-9022",21,46.9,19.9,6.9,4.4,0.9,0.1,"2012"
"1566","Mixing and blending machine setters, operators, and tenders(1)","51-9023",21,46.9,19.9,6.9,4.4,0.9,0.1,"2012"
"1567","Cutters and trimmers, hand(1)","51-9031",32.5,45.1,16.9,2.4,2.8,0.2,0.1,"2012"
"1568","Cutting and slicing machine setters, operators, and tenders(1)","51-9032",32.5,45.1,16.9,2.4,2.8,0.2,0.1,"2012"
"1569","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","51-9041",19.3,50.2,22.4,5.5,2.1,0,0.5,"2012"
"1570","Furnace, kiln, oven, drier, and kettle operators and tenders","51-9051",16,45.3,22.7,8,6.1,1.8,0,"2012"
"1571","Inspectors, testers, sorters, samplers, and weighers","51-9061",10.7,35,27.3,10.4,13.4,2.8,0.4,"2012"
"1572","Jewelers and precious stone and metal workers","51-9071",15.7,31.8,27.4,8.5,14.5,2,0.2,"2012"
"1573","Dental laboratory technicians(1)","51-9081",5.7,29.1,33,16.6,13,1.8,0.8,"2012"
"1574","Medical appliance technicians(1)","51-9082",5.7,29.1,33,16.6,13,1.8,0.8,"2012"
"1575","Ophthalmic laboratory technicians(1)","51-9083",5.7,29.1,33,16.6,13,1.8,0.8,"2012"
"1576","Packaging and filling machine operators and tenders","51-9111",35.3,41.9,14.9,3.7,3.7,0.4,0.1,"2012"
"1577","Coating, painting, and spraying machine setters, operators, and tenders(1)","51-9121",23.2,45.7,21.4,5.7,3.7,0.2,0,"2012"
"1578","Painters, transportation equipment(1)","51-9122",23.2,45.7,21.4,5.7,3.7,0.2,0,"2012"
"1579","Painting, coating, and decorating workers(1)","51-9123",23.2,45.7,21.4,5.7,3.7,0.2,0,"2012"
"1580","Semiconductor processors(1)","51-9141",21.2,45.6,20.4,6.3,5.4,0.8,0.2,"2012"
"1581","Photographic process workers and processing machine operators","51-9151",4.8,26.8,27.2,11.1,22.8,6,1.3,"2012"
"1582","Adhesive bonding machine operators and tenders","51-9191",19.8,59.7,16.1,2.6,1.8,0,0,"2012"
"1583","Cleaning, washing, and metal pickling equipment operators and tenders(1)","51-9192",21.2,45.6,20.4,6.3,5.4,0.8,0.2,"2012"
"1584","Cooling and freezing equipment operators and tenders(1)","51-9193",21.2,45.6,20.4,6.3,5.4,0.8,0.2,"2012"
"1585","Etchers and engravers","51-9194",6.4,42.4,26.2,8.7,15.8,0.5,0,"2012"
"1586","Molders, shapers, and casters, except metal and plastic","51-9195",30.4,31.6,20,4.4,10,3.2,0.3,"2012"
"1587","Paper goods machine setters, operators, and tenders","51-9196",16.3,49,24.3,6.1,2.4,1.8,0,"2012"
"1588","Tire builders","51-9197",10.1,48.9,26.5,7.9,6.6,0,0,"2012"
"1589","Helpers--production workers","51-9198",31,41,14.7,4.2,7,2.2,0,"2012"
"1590","Production workers, all other(1)","51-9199",21.2,45.6,20.4,6.3,5.4,0.8,0.2,"2012"
"1591","Aircraft cargo handling supervisors(1)","53-1011",8.5,34.4,29.8,9.7,15.2,2.2,0.3,"2012"
"1592","First-line supervisors of helpers, laborers, and material movers, hand(1)","53-1021",8.5,34.4,29.8,9.7,15.2,2.2,0.3,"2012"
"1593","First-line supervisors of transportation and material-moving machine and vehicle operators(1)","53-1031",8.5,34.4,29.8,9.7,15.2,2.2,0.3,"2012"
"1594","Airline pilots, copilots, and flight engineers(1)","53-2011",0.5,4.8,13.7,6.8,60.8,11.2,2.3,"2012"
"1595","Commercial pilots(1)","53-2012",0.5,4.8,13.7,6.8,60.8,11.2,2.3,"2012"
"1596","Air traffic controllers(1)","53-2021",0.3,13.2,33.4,16.2,32.2,4.5,0.3,"2012"
"1597","Airfield operations specialists(1)","53-2022",0.3,13.2,33.4,16.2,32.2,4.5,0.3,"2012"
"1598","Flight attendants","53-2031",0.5,14.2,33.9,13.4,33.5,3.8,0.7,"2012"
"1599","Ambulance drivers and attendants, except emergency medical technicians","53-3011",8.9,41.6,29.3,8.9,9.4,1.9,0,"2012"
"1600","Bus drivers, transit and intercity(1)","53-3021",9.7,45,28.4,7.7,7.5,1.4,0.3,"2012"
"1601","Bus drivers, school or special client(1)","53-3022",9.7,45,28.4,7.7,7.5,1.4,0.3,"2012"
"1602","Driver/sales workers(1)","53-3031",17.8,48.2,22.7,5.6,4.8,0.7,0.2,"2012"
"1603","Heavy and tractor-trailer truck drivers(1)","53-3032",17.8,48.2,22.7,5.6,4.8,0.7,0.2,"2012"
"1604","Light truck or delivery services drivers(1)","53-3033",17.8,48.2,22.7,5.6,4.8,0.7,0.2,"2012"
"1605","Taxi drivers and chauffeurs","53-3041",15.4,37.2,24,6.7,13.1,3,0.6,"2012"
"1606","Motor vehicle operators, all other","53-3099",13.1,47.3,22.5,6.8,8,1.8,0.7,"2012"
"1607","Locomotive engineers(1)","53-4011",2,35.4,38.4,9.8,12.9,1.4,0.2,"2012"
"1608","Locomotive firers(1)","53-4012",2,35.4,38.4,9.8,12.9,1.4,0.2,"2012"
"1609","Rail yard engineers, dinkey operators, and hostlers(1)","53-4013",2,35.4,38.4,9.8,12.9,1.4,0.2,"2012"
"1610","Railroad brake, signal, and switch operators(1)","53-4021",6.2,40,37.6,8,6.7,1.2,0.4,"2012"
"1611","Railroad conductors and yardmasters","53-4031",1.4,35.9,37.6,10.8,13.4,0.9,0.1,"2012"
"1612","Subway and streetcar operators(1)","53-4041",6.2,40,37.6,8,6.7,1.2,0.4,"2012"
"1613","Rail transportation workers, all other(1)","53-4099",6.2,40,37.6,8,6.7,1.2,0.4,"2012"
"1614","Sailors and marine oilers(1)","53-5011",16.1,37.3,20.6,6.4,14.9,3.3,1.4,"2012"
"1615","Captains, mates, and pilots of water vessels(1)","53-5021",10.8,31.4,26.3,9.4,18.9,1.6,1.6,"2012"
"1616","Motorboat operators(1)","53-5022",10.8,31.4,26.3,9.4,18.9,1.6,1.6,"2012"
"1617","Ship engineers(1)","53-5031",16.1,37.3,20.6,6.4,14.9,3.3,1.4,"2012"
"1618","Bridge and lock tenders(1)","53-6011",8.8,37.5,32.9,8.3,10.5,1.4,0.6,"2012"
"1619","Parking lot attendants","53-6021",19.2,33.8,24.1,8.6,11.1,2.5,0.6,"2012"
"1620","Automotive and watercraft service attendants","53-6031",17.9,42.8,23.3,6.8,8.4,0.8,0,"2012"
"1621","Traffic technicians(1)","53-6041",8.8,37.5,32.9,8.3,10.5,1.4,0.6,"2012"
"1622","Transportation inspectors","53-6051",6.4,30.5,33.7,13,14,1.5,0.9,"2012"
"1623","Transportation attendants, except flight attendants","53-6061",12.9,42,26.5,7.5,9.4,1.6,0.2,"2012"
"1624","Transportation workers, all other(1)","53-6099",8.8,37.5,32.9,8.3,10.5,1.4,0.6,"2012"
"1625","Conveyor operators and tenders(1)","53-7011",17.8,51.8,21.4,5.9,3.1,0,0,"2012"
"1626","Crane and tower operators","53-7021",17.1,53.9,20.9,5.7,2.2,0.1,0,"2012"
"1627","Dredge operators(1)","53-7031",24.7,49.4,19,4.7,1.8,0.1,0.2,"2012"
"1628","Excavating and loading machine and dragline operators(1)","53-7032",24.7,49.4,19,4.7,1.8,0.1,0.2,"2012"
"1629","Loading machine operators, underground mining(1)","53-7033",24.7,49.4,19,4.7,1.8,0.1,0.2,"2012"
"1630","Hoist and winch operators(1)","53-7041",17.8,51.8,21.4,5.9,3.1,0,0,"2012"
"1631","Industrial truck and tractor operators","53-7051",22.6,50.6,19.6,4.6,2.3,0.2,0.1,"2012"
"1632","Cleaners of vehicles and equipment","53-7061",35.3,42.3,14.9,3.7,3.3,0.3,0.1,"2012"
"1633","Laborers and freight, stock, and material movers, hand","53-7062",19.6,48.2,21,5.2,5.2,0.7,0.2,"2012"
"1634","Machine feeders and offbearers","53-7063",26.4,45.1,16.9,4.6,4.6,2.3,0,"2012"
"1635","Packers and packagers, hand","53-7064",36.6,41.1,13.3,4.1,4.1,0.6,0.1,"2012"
"1636","Gas compressor and gas pumping station operators(1)","53-7071",9.5,51.7,23.7,6.6,7.8,0.5,0.1,"2012"
"1637","Pump operators, except wellhead pumpers(1)","53-7072",9.5,51.7,23.7,6.6,7.8,0.5,0.1,"2012"
"1638","Wellhead pumpers(1)","53-7073",9.5,51.7,23.7,6.6,7.8,0.5,0.1,"2012"
"1639","Refuse and recyclable material collectors","53-7081",33.2,41.6,16.8,4,3.8,0.6,0,"2012"
"1640","Mine shuttle car operators(1)","53-7111",18.4,47.9,19.8,6.7,6.1,0.9,0.3,"2012"
"1641","Tank car, truck, and ship loaders(1)","53-7121",18.4,47.9,19.8,6.7,6.1,0.9,0.3,"2012"
"1642","Material moving workers, all other(1)","53-7199",18.4,47.9,19.8,6.7,6.1,0.9,0.3,"2012"
"1643","Total, all occupations","00-0000",9.1,25.2,22,9,21.6,9,4.1,"2010"
"1644","Chief executives","11-1011",1.5,9.9,16,5.8,39.4,20.6,6.9,"2010"
"1645","General and operations managers","11-1021",2.2,15.7,24.3,8.4,34,12.7,2.6,"2010"
"1646","Legislators","11-1031",1.5,9.9,16,5.8,39.4,20.6,6.9,"2010"
"1647","Advertising and promotions managers","40848",1.6,5.1,13.9,5.5,60.5,13.1,0.4,"2010"
"1648","Marketing managers","44501",0.7,8.5,17.6,6.4,48.9,16.5,1.5,"2010"
"1649","Sales managers","44866",0.7,8.5,17.6,6.4,48.9,16.5,1.5,"2010"
"1650","Public relations and fundraising managers","48153",0.1,3.4,10.6,3.2,54.2,24.5,4,"2010"
"1651","Administrative services managers","406090",1.3,17.7,29.1,11.3,27.6,11.2,1.9,"2010"
"1652","Computer and information systems managers","409743",0.3,3.8,15.1,8.1,45.5,25,2.2,"2010"
"1653","Financial managers","413395",0.8,10.7,20.1,7.5,40.3,18.2,2.3,"2010"
"1654","Industrial production managers","420700",3.8,20.4,23.1,8.3,31.4,11.7,1.3,"2010"
"1655","Purchasing managers","424353",1.1,12.1,21.4,8.5,37.8,16.9,2.2,"2010"
"1656","Transportation, storage, and distribution managers","428005",4.8,29.1,28.9,8.4,22.5,5.5,0.9,"2010"
"1657","Compensation and benefits managers","442614",0,9.1,21.7,8.8,41.5,17.5,1.5,"2010"
"1658","Human resources managers","446267",2.7,12.4,20.5,7.7,35.6,18.4,2.7,"2010"
"1659","Training and development managers","449919",0.8,7,17.3,8.4,37.5,25.5,3.5,"2010"
"1660","Farmers, ranchers, and other agricultural managers","2598276",11.5,38.7,20.3,8.1,17.8,2.7,0.8,"2010"
